	Method	BFGS_LS(suc)	BFGS_LS(time)	BFGS_LS(nit)	DFP_LS(suc)	DFP_LS(time)	DFP_LS(nit)	PSB_LS(suc)	PSB_LS(time)	PSB_LS(nit)	SR1_LS(suc)	SR1_LS(time)	SR1_LS(nit)	BFGS_TR(suc)	BFGS_TR(time)	BFGS_TR(nit)	DFP_TR(suc)	DFP_TR(time)	DFP_TR(nit)	PSB_TR(suc)	PSB_TR(time)	PSB_TR(nit)	SR1_TR(suc)	SR1_TR(time)	SR1_TR(nit)
92	JennrichSampson	0.62	0.005776816171683095	9.06	0.48	0.0238632443982624	79.4	0.65	0.007953566658916316	11.94	0.13	0.004956811117081088	4.94	1.0	0.03480819979396983	55.98	0.86	0.05519547785731447	118.1	1.0	0.026955781374890648	29.69	0.08	0.13447458122880562	389.14
93	Exp2	0.02	0.26030335491599543	357.08	0.06	0.0908138685085578	26.32	0.0	0.08976800434824328	17.68	0.0	0.08720210703761949	18.47	0.04	0.10347429428648866	165.92	0.06	0.09367328943245412	136.95	0.09	0.14786016714496328	329.32	0.0	0.06636392326705391	39.89
94	PermFunction02	0.0	0.01083515612273004	16.25	0.0	0.011594219074222563	26.99	0.0	0.005667461638067834	11.99	0.0	0.006419062378545277	11.38	0.0	0.022438971301062337	53.32	0.0	0.026079752006507983	68.08	0.0	0.02215243094890866	51.04	0.0	0.08215073751871386	309.8
95	Shekel05	0.4	0.04278912219171616	75.89	0.07	0.2376082309257981	574.32	0.0	0.005132778179176967	1.07	0.0	0.005047922789872246	1.72	0.01	0.07792368788037493	36.95	0.02	0.1063970991028782	28.58	0.0	0.08541121486933663	37.32	0.02	0.08270557963847751	54.77
96	Powell	0.3	0.014110609211547854	47.04	0.24	0.07002415276111605	368.7	0.0	0.005603047147969846	21.43	0.18	0.0074527860132729985	27.97	0.0	0.05115385454207171	84.75	0.0	0.1264873683368478	317.63	0.0	0.07057540275623979	136.26	0.0	0.248575876574605	798.94
97	RotatedEllipse02	1.0	0.001088858469865954	4.93	1.0	0.0009281707661921246	4.74	1.0	0.0008636408148777263	4.44	1.0	0.0006281941577071848	3.29	1.0	0.013342356408029443	11.78	1.0	0.01344857638546273	11.94	1.0	0.013486002901809116	11.57	1.0	0.013689372742355772	13.55
98	RotatedEllipse01	1.0	0.001282379902258981	5.36	1.0	0.0011347863477294596	4.81	1.0	0.0013724780827215	6.06	1.0	0.0008953969062622492	4.03	1.0	0.015063274845797425	11.26	1.0	0.015760365096721216	11.29	1.0	0.01598660479656246	11.45	1.0	0.014606360882826266	12.43
99	Schwefel04	1.0	0.004202332400654996	16.61	1.0	0.007193289227197966	31.12	0.5	0.004163528903127371	14.08	0.71	0.0033301902243601947	13.23	1.0	0.019401932648515863	14.38	1.0	0.019156992519438063	14.17	1.0	0.02046037352106396	14.87	1.0	0.035755259148209005	78.26
100	Mishra08	0.01	0.02268153378590796	55.09	0.01	0.0283670672313292	85.47	0.0	0.04751642220976464	67.48	0.0	0.01259395436889463	25.74	0.0	0.030722619993011905	77.24	0.0	0.030194248409952707	73.56	0.0	0.030637862959592893	71.87	0.0	0.09507278969951584	331.97
101	NewFunction03	0.0	0.028095391432561883	101.59	0.0	0.03868192549844025	132.23	0.0	0.0054017513317739935	8.56	0.0	0.006196243749591304	8.48	0.0	0.02542632745035917	53.59	0.0	0.030363287803129423	60.51	0.0	0.02545417069179166	44.16	0.0	0.029394000040165336	68.42
102	HelicalValley	0.92	0.0069090025055083965	24.95	0.77	0.0569811999320973	282.3	0.01	0.007552749707128894	13.76	0.01	0.004452720585341012	8.93	0.99	0.033786146287557134	38.53	1.0	0.04542388138467686	75.96	1.0	0.05256599566636396	42.35	0.04	0.1722457192780348	590.41
103	DixonPrice	0.52	0.004218744988693289	13.94	0.53	0.0048092175625515645	20.39	0.28	0.004076030736596296	12.19	0.34	0.0030666351927993675	11.9	0.62	0.0174751940281476	29.57	0.43	0.017545509865776694	36.75	0.5	0.017598459491746325	34.9	0.55	0.04431007047836829	172.08
